mode,norm,fold,xKey,xLabel,yKey,yLabel,val
constrained,mean,1,1.0,1.0,0.3,0.3,0.5134144530218041
constrained,mean,1,1.0,1.0,0.4,0.4,0.45490604740086515
constrained,mean,1,1.0,1.0,0.5,0.5,0.3854177064358688
constrained,mean,1,1.0,1.0,0.6,0.6,0.33213884536742655
constrained,mean,1,1.0,1.0,0.7,0.7,0.18910305444423822
constrained,mean,1,1.0,1.0,0.8,0.8,0.1221941922693825
constrained,mean,1,1.0,1.0,0.9,0.9,0.08049066343983427
constrained,mean,1,1.0,1.0,1.0,1.0,0.07841799194633678
constrained,mean,1,1.25,1.25,0.0,0.0,0.6976547324146496
constrained,mean,1,1.25,1.25,0.1,0.1,0.7125898299033439
constrained,mean,1,1.25,1.25,0.2,0.2,0.6541973616057939
constrained,mean,1,1.25,1.25,0.3,0.3,0.6095356578645036
constrained,mean,1,1.25,1.25,0.4,0.4,0.5715043001788971
constrained,mean,1,1.25,1.25,0.5,0.5,0.4883703498964626
constrained,mean,1,1.25,1.25,0.6,0.6,0.36955162607991465
constrained,mean,1,1.25,1.25,0.7,0.7,0.25250047115003404
constrained,mean,1,1.25,1.25,0.8,0.8,0.18507739991883237
constrained,mean,1,1.25,1.25,0.9,0.9,0.10567219696286019
constrained,mean,1,1.25,1.25,1.0,1.0,0.083824728059308
constrained,mean,1,1.5,1.5,0.0,0.0,0.7114312589914535
constrained,mean,1,1.5,1.5,0.1,0.1,0.6742392337560003
constrained,mean,1,1.5,1.5,0.2,0.2,0.6939188605391811
constrained,mean,1,1.5,1.5,0.3,0.3,0.6568573282727854
constrained,mean,1,1.5,1.5,0.4,0.4,0.5807905789086274
constrained,mean,1,1.5,1.5,0.5,0.5,0.4826196352231013
constrained,mean,1,1.5,1.5,0.6,0.6,0.4105521887130455
constrained,mean,1,1.5,1.5,0.7,0.7,0.2600673480039446
constrained,mean,1,1.5,1.5,0.8,0.8,0.17339814666862471
constrained,mean,1,1.5,1.5,0.9,0.9,0.12870788414958917
constrained,mean,1,1.5,1.5,1.0,1.0,0.10113975516815951
