mode,norm,fold,xKey,xLabel,yKey,yLabel,val
constrained,mutual_information,3,2.25,2.25,0.75,0.75,1.788980694942659
constrained,mutual_information,3,2.25,2.25,1.0,1.0,0.7327910482455504
constrained,mutual_information,3,2.5,2.5,0.0,0.0,2.9458155877586605
constrained,mutual_information,3,2.5,2.5,0.25,0.25,2.9722944875343638
constrained,mutual_information,3,2.5,2.5,0.5,0.5,2.815362208793303
constrained,mutual_information,3,2.5,2.5,0.75,0.75,1.7633032539060651
constrained,mutual_information,3,2.5,2.5,1.0,1.0,0.8106440907444185
constrained,mutual_information,3,2.75,2.75,0.0,0.0,2.9406641421184987
constrained,mutual_information,3,2.75,2.75,0.25,0.25,2.968974707605576
constrained,mutual_information,3,2.75,2.75,0.5,0.5,2.8328133127275374
constrained,mutual_information,3,2.75,2.75,0.75,0.75,1.7075669056438405
constrained,mutual_information,3,2.75,2.75,1.0,1.0,0.8304754770370011
constrained,mutual_information,3,3.0,3.0,0.0,0.0,2.937311797533279
constrained,mutual_information,3,3.0,3.0,0.25,0.25,2.907765638212962
constrained,mutual_information,3,3.0,3.0,0.5,0.5,2.7848900228166538
constrained,mutual_information,3,3.0,3.0,0.75,0.75,1.748431522272618
constrained,mutual_information,3,3.0,3.0,1.0,1.0,0.874168960734037
constrained,mean,0,0.25,0.25,0.0,0.0,0.06636501389756985
constrained,mean,0,0.25,0.25,0.25,0.25,0.03437449478733667
constrained,mean,0,0.25,0.25,0.5,0.5,0.028389630164639447
constrained,mean,0,0.25,0.25,0.75,0.75,0.02925153843963551
constrained,mean,0,0.25,0.25,1.0,1.0,0.0369180122122313
constrained,mean,0,0.5,0.5,0.0,0.0,0.2734035049853356
constrained,mean,0,0.5,0.5,0.25,0.25,0.15318107806330347
constrained,mean,0,0.5,0.5,0.5,0.5,0.055343507798510945
constrained,mean,0,0.5,0.5,0.75,0.75,0.026541958166987317
constrained,mean,0,0.5,0.5,1.0,1.0,0.01899912916718098
constrained,mean,0,0.75,0.75,0.0,0.0,0.41875549767245485
constrained,mean,0,0.75,0.75,0.25,0.25,0.31160844375580093
constrained,mean,0,0.75,0.75,0.5,0.5,0.1510100311767649
constrained,mean,0,0.75,0.75,0.75,0.75,0.045984277948111496
constrained,mean,0,0.75,0.75,1.0,1.0,0.023825933117849127
constrained,mean,0,1.0,1.0,0.0,0.0,0.5106898973597658
